Screen Name,Tweet,Liked,Favourite count,Retweet count,Description,Location,Followers,Tweet ID,Date Created
Tworayo,PDP mocks Buhari over controversial Martin Luther King award https://t.co/PHhmokmyKB,0,0,0,Long story,,91,979440802844700672,2018-03-29 19:30:59
QueenDoosh27,Full Text of Buhari’s Easter Message To Christians https://t.co/KUsJTWuQNt,1,0,0,I am a Blogger and Chattered Librarian,"Makurdi, Nigeria",281,979440758636789760,2018-03-29 19:30:48
duisaf,Pulse Opinion: Tinubu’s event was simply the launch of Buhari’s re-election campaign https://t.co/xzJ2h4x3Z6 https://t.co/x8JgqN6DPK,0,1,0,While getting spiced with the latest trendies around the world.. Note that it's a wise choice advertising with us!,Nigeria,40078,979440729289146368,2018-03-29 19:30:41
JoyAkanonu,Here’s President Buhari’s 2018 Easter message to the Nations https://t.co/iSI5rj5Sdw https://t.co/DAhRqfU5oj,0,0,0,"Mum, gospel musician, writer, actor, blogger, motivational speaker, professional make up artist, caterer, simple and easy going but principled!",,910,979440708909232128,2018-03-29 19:30:36
BabaGrumpy,"After Zaki Biam, Gen Danjuma then Minister of Defense was interviewed. 

@Olusegunverdict was not bold enough to quote General Danjuma's words. He was quite happy to blame it all on Buhari as usual. Surefire sign Buhari is not a dictator. Segun is more afraid of Gen Danjuma",1,0,0,Arsenal fan. Grumpy Old Man. Dad. Professional. Aspirational Blogger. #OneArseneWenger,,379,979440679762976773,2018-03-29 19:30:29
paddymie,@surh__says This is the head Buhari needz,0,0,0,Solar installation| Inverter installation|CCTV installation| Motorize Glass Doors| Electric Fence| Car Tracking|    08088164606,Benin city,157,979440636666531842,2018-03-29 19:30:19
Haysmart,"Buhari's Visit To Lagos: Declaring Public Holiday Wasteful, Unnecessary - ADP https://t.co/ytjNFATuHG",1,0,0,"Quantity Surveyor, 
Blogger, 
Farceur & 
A dream chaser",Next Bus stop ,1414,979440618366750721,2018-03-29 19:30:15
Haysmart,Police Say All Routes Are Open To Traffic In Lagos Despite Buhari's Visit https://t.co/gzU4Hwqx53,0,0,0,"Quantity Surveyor, 
Blogger, 
Farceur & 
A dream chaser",Next Bus stop ,1414,979440612582846465,2018-03-29 19:30:13
inforistic,Buhari greets Nigerians at Easter https://t.co/Mfm3AzXgmk https://t.co/ZPuaerNaga,1,0,0,"Latest News, Entertainment, Comedy Skit, Celebrity Gossip & Your Favourite Music.
Email: contact@inforistic.com","Lagos, Nigeria",18385,979440605817458688,2018-03-29 19:30:12
thecableng,PDP seeks arrest of Buhari’s aides over ‘Martin Luther King award’ controversy | TheCable https://t.co/M9jL0kMXpd https://t.co/eKTgBDYGaY,0,0,1,Nigeria's independent online newspaper,Nigeria,116239,979440601698635777,2018-03-29 19:30:11
doveleakng,Lagos shutdown as Buhari visits https://t.co/RryHg5Bodq https://t.co/RryHg5Bodq,0,0,0,Doveblitz is a football site with premium informations. Doveblitz provides the best football news which are perfectly deliver best result for our visitor.,,1886,979440585911054336,2018-03-29 19:30:07
GuardianNigeria,"WATCH: APC national chairman Odigie-Oyegun, apparently unaware of President Buhari’s stance on the tenure elongation of the party’s NEC, says issue “belongs to history”.
https://t.co/2Bp6F6fleq",0,0,0,"An independent newspaper, established in 1983 for the purpose of presenting balanced coverage of events, and of promoting the best interests of Nigeria.",Nigeria,1099700,979440560720113665,2018-03-29 19:30:01
doeyhin,How did buhari's visit affect you today? — Positively actually! https://t.co/GCOiKkWpcY,0,0,0,"Gadget sales/ Interior architecture,Socialite, Tea collector, Benz lover.",La vie est belle,1827,979440505112137730,2018-03-29 19:29:48
notsugabelly,This is why you 🐒 Nigerians have Buhari as a president. Condoning mediocrity since 1914. #bbnaija https://t.co/dWPM12uKIk,1,0,0,sabishii,"Washington, DC",207,979440451685093376,2018-03-29 19:29:35
johnnync15,"Group accuses Buhari's govt of deliberately assigning Kanu, Fani-Kayode's cases to Fulani judges - Daily Post Nigeria https://t.co/U5nmo1ip1t",0,0,0,"I'm a Biafran by original Identity, not artificial country Nigeria ,created by Britain, #freeNnamdikanu #FreeBiafra",Malaysia,359,979440399767896064,2018-03-29 19:29:23
ObiDanielOnyeka,"@renoomokri @realDonaldTrump Nigerians is waiting for push, because we all want to push Buhari to Daura",0,0,0,Biafran days are numbered in Nigeria!,,33,979440339839627269,2018-03-29 19:29:08
BayoNaija03,"@Omojuwa @NGRPresident @MBuhari Na Tinubu colloquium Buhari come attend, forget Bus stop issh!",0,0,0,Young active citizen of the Fed. Rep. of Nigeria | Jesus Soldier | Reader | Programmer | Writer | Researcher ... Proudly @ManUtd fan.,"Ibadan, Nigeria",266,979440290485473285,2018-03-29 19:28:57
JesseUka,"March 29, 2018

Press Statement

PDP Mocks Buhari over Fake Luther Award

…Demands Arrest, Prosecution of Presidency Officials 

The Peoples Democratic Party (PDP) has described the announcement by the Buhari... https://t.co/0AzqawAsVR",0,0,0,"Politician/Footballer/Comedian//Song Writer/Entertainer/Peace Ambassador

For Bookings & Enquries Contact:
+2348167900239

Jesseukachukwu@yahoo.com","Nigeria, Planet Earth",314,979440210776870912,2018-03-29 19:28:38
PremiumTimesng,"Easter: Buhari urges political actors, stakeholders to work for peace, social justice https://t.co/A50gyWBV44",0,0,0,"A multimedia Nigerian publication based in Abuja delivering fresh, factual & reliable news","Abuja, Nigeria",712136,979440134469963777,2018-03-29 19:28:19
yofigirl,"You shutdown Lagos State just to commission a state project, what will happen the day Buhari will commission a federal project?

Shame of a country!
#BuhariInLagos",0,2,0,"writer, script writer, blogger, movie producer, girl child activist",lagos nigeria,604,979440078022995968,2018-03-29 19:28:06
Hammdriller,"I believe this is what @OfficialPDPNig should be working towards. 

2019 is sealed. Buhari wins.

The support is overwhelming https://t.co/luj3Cc9kH9",1,0,0,"Someone somewhere, is making a decision that may affect your life.
Social Commentator. War is part of human nature. I engage.

IT Infrastructure Consultant.","West Africa, CA",1674,979440077729222656,2018-03-29 19:28:06
Kendo81326098,@Laurestar APC and Buhari have launched their election campaign. Why did they stop PDP having a rally in Kano and Ksduna recently?,0,0,0,,,19,979440042090344448,2018-03-29 19:27:57
reggeablues,Both Buhari of Nigeria and Biya of Cameroon masterminds massacre in Southern Cameroon and Southern Nigeria. This is conspiracy to commit ethnic cleansing to further suppress their supposed conquered territories.,1,0,0,Entrepreneur. Observer. Activist. Awakener.  Enlightenment. Libra. King Of Free World.,Pyramid Of Biafra. ,618,979440017029332993,2018-03-29 19:27:51
AA_Nuhu,Baba Buhari is seconds away from receiving a gigantic hot slap 🤣🤣🤣 https://t.co/KR2xKqofuF,1,0,0,"I want to be 16 nd clueless again

Development worker | aminu.abdullahi@thepalladiumgroup.com",Nigeria,599,979439963103285248,2018-03-29 19:27:38
