Screen Name,Tweet,Favourite count,Retweet count,Description,Location,Followers,Tweet ID,Date Created
riskmap_,"Just In: Herdsmen Attack #Enugu Community, Machete Security Guard #Nigeria #Security https://t.co/hBPApJcTQi https://t.co/uE7aPcdCvD",0,0,"Official twitter of RiskMap the free security, health, hazard, humanitarian and political risk platform. #riskmap","Cardiff, Wales",15224,981185458053963776,2018-04-03 15:03:37
chiefow,"Saraki made the call at the opening of a two-day Security Summit organised by the Senate Ad-hoc Committee on Review of Current Security Infrastructure in Nigeria. #SecuritySummit Cc @bukolasaraki

https://t.co/Idf8uMagBx",0,0,'Jus Ad Bellum',Abuja,3328,981184859724017664,2018-04-03 15:01:14
orientdailynews,"Cross River vigilante group to partner security agencies in crime fighting
By Joseph Kingston, Calabar The Commandant of the Vigilante Group of Nigeria (VGN), Cross 
https://t.co/uGUJw5UM1b",0,0,"Orient Magazine, Newspaper Communication Ltd",Nigeria,389,981183172443435011,2018-04-03 14:54:32
orientdailynews,"Cross River vigilante group to partner security agencies in crime fighting
By Joseph Kingston, Calabar The Commandant of the Vigilante Group of Nigeria (VGN), Cross 
https://t.co/rw2emlWCDj",0,0,"Orient Magazine, Newspaper Communication Ltd",Nigeria,389,981183166130958343,2018-04-03 14:54:30
NofNews_Nigeria,"President Buhari Inaugurates Food Security Council-Photos President Muhammadu Buhari on Monday March 26th, inaugurated the National Food Security Council. The inauguration took place inside the... https://t.co/sHkzC9A4Oz",0,0,,,113,981181483837566976,2018-04-03 14:47:49
muriq2003,"@Audu Chief just the neighborhood watch here has stopped and saved lives.The security situation in Nigeria would be well if we all speak out,criminals have friends,siblings and have homes.Dole",0,0,simply simple,salt lake city,630,981178106886041600,2018-04-03 14:34:24
i_am_pixelhub,"Our security protocol in Nigeria is almost military grade!

Can you lock pick 'Jam Lock' with 4 padlock and a 'protector' behind the door?

I leave that question for my opponent to answer! https://t.co/wRzP16k74c",1,2,"Reckless Lover of God, Life & people! Talk to me about content marketing & analytics. I love chasing spiral of beauties!  Stutterer, Nigerian Storyteller™","Lagos, Nigeria",10406,981170866821066752,2018-04-03 14:05:38
EngrEzeani,"@slraradhana Hello greetings  .am mr Joseph  from nigeria.  Am a paramilitary  personnel..  How do i apply  for security  job in your firm
I have 6yrs experience  with proper  training",0,0,boundless love for the author  and finisher of the whole universe.undiluted passion for excellence .. a Peace Corps paramilitary officer.,Nigeria,2,981168666011037696,2018-04-03 13:56:53
chidexalex,BIAFRANS CHRISTIANS ARE BEEN MURDERED DAILY BY ISLAMIC SECURITY FORCE NIGERIA GOVERNMENT UNLAWFUL? @BErNIE SANDERS CAN'T NEVER SPEAK UP? CAN'T CONDEMN IT? SHAME TO YOU @bernie SANDERS https://t.co/wzUJrSQqOi,0,2,"UNITY BY FORCE & GUN🔫IS SLAVERY    
@REPORTER & COMMUNICATION SPECIALIST MEDIA AFFAIRS OF INDEGENOUS PEOPLE OF @BIAFRA)IN NIGERIA👈",BIAFRA LAND ,1293,981164893062643712,2018-04-03 13:41:54
elri2008,River Basin boards asked to reposition to ensure food security - EnviroNews Nigeria - https://t.co/tX2ckimXqr,1,0,Environmental Law Research Institute (ELRI) is a nonprofit think tank for applied environmental research & policy analysis established under the laws of Nigeria,"Lagos, Nigeria",114,981159290496061445,2018-04-03 13:19:38
cchukudebelu,"If you doubt me, consider Congo DRC. Nobody gives a shit about Congo, because it doesn't fit into the ""War on Terrorism"". 

This will be our fate in Nigeria if we don't deal with our looming internal security crises - by ourselves.",7,13,"Christian, Igbo, Nigerian, African. A complex personality, not a stereotype - Western Media take note.

An admirer of M.I. Okpara - an unsung Nigerian hero.",Lagos,50167,981155541446811648,2018-04-03 13:04:44
_justinconrad,Nigeria’s President has twice declared Boko Haram defeated.  An attack on military barracks represents a significant escalation. https://t.co/j4w2haRALj,1,2,Associate Professor of Political Science | Author of Gambling and War,NC,2367,981153513555288065,2018-04-03 12:56:41
AfrResCentre,Nigeria Assumes AU Security Council Chair for April https://t.co/w46a6xq2Tu via @allafrica,0,1,"The Centre was established in 2009 to conduct research into conflict and post-conflict situations, terrorism, justice and human rights in Africa.",,479,981153249049894913,2018-04-03 12:55:38
EtimOyoIta,"@julietkego Minister of Defence. Nigeria's security is the cornerstone of any progress it makes. I would move to enhance the role of our armed services in three areas: battle readiness, the mitigation of covert and overt threats and constructive, equal engagement in Nigeria's development.",1,0,"Web & UX Developer, Thinker & Problem Solver, Dreamer, Doer. Nice guy, steel nerves. Awesome begets awesome.","Calabar, CR, Nigeria",558,981148199816716293,2018-04-03 12:35:34
LbanNigeria,"Well, d fight is ended. I only hope people can live with d threats they've exposed themselves too #Nigeria #security
https://t.co/0JJ0MFkW1k",0,0,"We lead in providing innovative digital & cloud services, business solutions and design-led experience through our partnership with top IT brands.","Lagos, Nigeria",53,981146741998325760,2018-04-03 12:29:46
TamunoyeJumbo,"Security agencies are abetting the fight against illegal Oil Bunking in Nigeria, Rivers State.

@AsoRock
@riversstategov 
@NGRSenate 
@RotimiAmaechi 
@PetersideDakuku",1,0,🎓🏡💰💷💶,"Port Harcourt, Nigeria",13,981144922437898240,2018-04-03 12:22:32
TnOdu,"@gtbank I know even Visa &amp; MasterCard Nigeria have 3D security enabled for 1st time transactions, so why the system fail? @mypaga @interswitchGRP @Visa @VisaNigeria @mastercard @MastercardMEA @cenbank #Emefielei and ps...why isn't the MD of GTbank on twitter? Seriously?",0,0,BBC highly commended writer & IT Training Manager,,111,981144412716662789,2018-04-03 12:20:31
Fatto5000,"Retweeted The Guardian Nigeria (@GuardianNigeria):

Fayose likens Buhari to a father who is protecting his children that are armed robbers but calling on security agents to arrest his neighbour’s children for stealing meat from their mother’s pot.
https://t.co/HrhEmdf32E",0,0,"GOD's Love, Lover of Life, Dream Chaser #BABAGODSUREPASS #GODblessNIGERIA #HALAMADRID #TEAMARSENAL when wenger leaves #IG:@Fatto5000",Nigeria,1427,981140474911248384,2018-04-03 12:04:52
NACSNG,"Nigeria assumes a one-month rotational chairmanship of the @African_Union Peace and Security Council (AU-PSC) for April, 2018.Nigeria’s Permanent Representative to AU, Ambassador Bankole Adeoye, took over from Ambassador Zackariaou Maiga https://t.co/OeRh4Je5dE. Via @daily_trust. https://t.co/ON7N0677BM",0,2,"Welcome to the Official Handle of the National Anti-Corruption Strategy (NACS). Tweet at Us! Together, lets end corruption & drive national development.",Nigeria,1881,981140420112666624,2018-04-03 12:04:39
FranklynGaga,"@MizCazorla1 The problem in Nigeria security system is that anybody(no academic boundaries) is qualified to join the forces
There should be a school specially for training the police, so they will stop misbehaving and see value in themselves",0,0,Engineer by profession . A simple gentle man,"Benin-City, Nigeria",48,981138216702107648,2018-04-03 11:55:54
